math,eng,ukr,privilege,rating,prediction_prob
195.50546221001508,194.4322934459417,191.10153439935178,0,193.86233323759407,1.0
197.15620996686394,186.4284663024734,194.00907350441238,0,192.9937459288113,1.0
187.0051371275211,193.66540517678268,199.0929749009533,0,192.6295688743292,1.0
196.92082129291956,179.964109914655,196.80572870388116,0,191.7992801027287,1.0
198.95700093152973,173.75300080689786,195.580441536836,0,190.38283307573204,1.0
189.3960250298651,186.34936318120674,194.25663807089538,0,189.94021038757666,1.0
198.0987791564526,189.40202917895942,179.51985609953002,0,189.91607724612786,1.0
189.29212186007044,181.22963060360996,199.20519959392885,0,189.84729780328982,1.0
196.89314846651357,184.18441229798484,185.3681773758037,0,189.623036288742,1.0
182.441888477521,197.30269717790202,190.88273026560702,0,189.4323836240611,1.0
197.1796552046032,178.83912047941016,188.63350078272367,0,189.11364846048144,1.0
191.11468805381156,179.64572890726419,195.27432772520103,0,188.9218922112642,1.0
180.52801530832738,190.37888510941588,198.53294184467464,0,188.8847542095581,1.0
196.83964904600435,185.8027571005467,179.92098126541242,0,188.4529811281895,1.0
185.07751998509318,184.4675802918259,196.26133194809557,0,188.24968166601371,1.0
192.82165920322686,171.10829839542285,199.00462302958283,0,188.16254010879243,1.0
192.48854733823129,177.09993677843826,192.7143331337399,0,187.93969990894598,1.0
181.89161225116652,194.5679590648077,188.17754369784961,0,187.58029572926378,1.0
189.63657157753516,187.95557515608436,184.25860779634002,0,187.51888351674137,1.0
177.5400463451049,193.45918146369576,194.7420998020004,0,187.47640291775082,1.0
194.79701092823026,168.33606935933508,196.83218517831494,0,187.46928073258712,1.0
198.96476122352263,168.9487071842042,190.39518727887193,0,187.3890728283319,1.0
187.16819195466942,185.7268883553753,188.84807934567027,0,187.23976709218147,1.0
196.99725154042693,177.57149354000734,183.87837404145412,0,187.23386089060924,1.0
192.73491280598913,175.68361581704974,190.65218520675336,0,186.99470542953657,1.0
196.89541898852494,178.11833175329392,181.99348472190857,0,186.79171253797074,1.0
194.84425770674306,180.7153580757659,181.91659204774365,0,186.72728811975009,1.0
191.54830060037904,185.29629696568148,181.66636829399556,0,186.70811981805474,1.0
192.04454667853256,191.64509923816823,174.57245000879422,0,186.68308344550178,1.0
182.65188810720366,189.92601270872328,188.61076967060575,0,186.62178995668017,1.0
186.17642142924836,181.87053706872464,191.32670830149235,0,186.42974218276444,1.0
187.2722564795263,191.4483191398359,180.2221469422513,0,186.41004241643668,1.0
188.2818102907978,177.06504219819814,193.25152508112663,0,186.40769430011653,1.0
180.12928704044498,193.42919728664825,187.6246182932891,0,186.36785949015922,1.0
190.23275304244603,182.11708976912269,185.35687028949656,0,186.3352892345642,1.0
